ShipDetections,Latitude,Longitude,Detected_width,Detected_length
target_000,23.7747583916658,68.3418040849682,170,190
target_001,23.6803606831038,68.5257964893875,20,70
target_002,23.6536864155091,68.5210352336949,20,50
target_003,23.7137725847223,68.1588353906691,80,70
target_004,23.5786727060253,68.4662695302908,30,20
target_005,23.5603042620548,68.4765104765796,40,40
target_006,23.5555020621238,68.4810323778604,40,70
target_007,23.5821991955681,68.4495422627444,90,140
target_008,23.5699702523144,68.4525408715026,80,100
target_009,23.5986403087507,68.280363382599,120,230
target_010,23.5828764915621,68.3030908314112,190,130
target_011,23.5974535673123,68.2508511231999,120,70
target_012,23.5341000514905,68.4890724181398,70,200
target_013,23.5117313763534,68.4959210433388,20,100
target_014,23.5767671548365,68.2936201202836,90,80
target_015,23.494498297237,68.4987620838965,80,40
target_016,23.4700092975633,68.5082679102408,30,60
target_017,23.4956744911221,68.4721216368705,60,80
target_018,23.4949963248161,68.4619341695888,120,110
target_019,23.4913426063269,68.4542409996417,40,30
target_020,23.4203503016054,68.5431453087777,150,170
target_021,23.4523259888305,68.5173829207948,10,30
target_022,23.4387641737115,68.5232869652598,60,190
target_023,23.4317153274349,68.4952679561957,50,70
target_024,23.4619556460271,68.443972566852,30,10
target_025,23.4371307871409,68.4401338605052,10,40
target_026,23.4321580169208,68.4560080125268,160,120
target_027,23.4526115995872,68.4349521522796,30,60
target_028,23.4424622367389,68.4106514908672,90,250
target_029,23.0467718479382,70.4274966577948,30,60
target_030,23.3769665676197,68.5830434716671,130,170
target_031,23.3758965623032,68.5688583497607,80,70
target_032,23.4036822724602,68.5514591744717,70,110
target_033,23.404638661687,68.533793476579,60,40
target_034,23.3995524675096,68.5335748078073,160,220
target_035,23.3985761197497,68.5421835443051,90,60
target_036,23.3949857415669,68.5563883609073,30,20
target_037,23.3875360326662,68.5410853256406,50,50
target_038,23.3801801173349,68.5532999597915,20,30
target_039,23.3798926526487,68.5391715287752,30,20
target_040,23.3717321354995,68.5553525141486,110,230
target_041,23.3727301489069,68.5502304946266,140,80
target_042,23.4251038859988,68.4606238902629,90,170
