#defaultCSS=fill:#aa00ff; fill-opacity:0.5; stroke:#ffffff; stroke-opacity:1.0; stroke-width:1.0; symbol:cross
ShipDetections	geometry:Point	Detected_x:Integer	Detected_y:Integer	Detected_lat:Double	Detected_lon:Double	Detected_width:Double	Detected_length:Double	style_css:String
target_039	POINT (15692 566)	15692	566	24.916457155031782	67.23170848182028	60.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_040	POINT (15623 656)	15623	656	24.907267479162513	67.23680578082781	20.0	30.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_041	POINT (15790 696)	15790	696	24.90635971873758	67.21986689826453	70.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_042	POINT (16192 374)	16192	374	24.941876532519455	67.18648704037554	40.0	20.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_043	POINT (16179 386)	16179	386	24.94062879131518	67.18754524286184	140.0	90.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_044	POINT (16257 396)	16257	396	24.940938246479593	67.17980672935114	70.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_045	POINT (16261 572)	16261	572	24.925177520348957	67.17624341768338	70.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_046	POINT (16356 627)	16356	627	24.921713009789315	67.16598822946506	50.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_047	POINT (16415 435)	16415	435	24.94002780422203	67.16372157560917	70.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_048	POINT (16855 369)	16855	369	24.953060344219814	67.12199355149448	60.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_049	POINT (16848 503)	16848	503	24.940901780087344	67.12031575671826	50.0	10.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_050	POINT (16774 579)	16774	579	24.932855324469298	67.12615373943513	70.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_051	POINT (17301 664)	17301	664	24.933646421547042	67.07327316459688	70.0	80.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_052	POINT (18199 604)	18199	604	24.95357469798273	66.98682541849531	40.0	50.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_053	POINT (18658 413)	18658	413	24.97810684259666	66.94555860350256	30.0	40.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_054	POINT (18842 484)	18842	484	24.97466643515013	66.92630679661409	80.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_055	POINT (18935 516)	18935	516	24.97327388836608	66.91667111565009	60.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_056	POINT (18610 674)	18610	674	24.95385133834484	66.94557021515416	90.0	90.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_057	POINT (18799 701)	18799	701	24.954458319384198	66.92662197741578	60.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_058	POINT (19340 413)	19340	413	24.989087632669463	66.87909701639549	30.0	50.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_059	POINT (19309 579)	19309	579	24.973583018041325	66.87914517284428	90.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_060	POINT (19899 644)	19899	644	24.977196988935674	66.82042991454664	60.0	50.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_061	POINT (20336 440)	20336	440	25.0025179988317	66.78145009981574	60.0	80.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_062	POINT (5063 753)	5063	753	24.72346526230157	68.26180155609443	30.0	40.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_063	POINT (8454 1084)	8454	1084	24.750553866799358	67.92624710051889	70.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_064	POINT (9843 734)	9843	734	24.805304521590596	67.79777518742982	30.0	30.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_065	POINT (10034 863)	10034	863	24.796840171489695	67.77681775908046	70.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_066	POINT (13315 975)	13315	975	24.840799031023515	67.45561841695334	100.0	100.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_067	POINT (13277 1033)	13277	1033	24.834937074823703	67.45830287891066	90.0	140.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_068	POINT (13265 1038)	13265	1038	24.834297746919667	67.45933018506932	60.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_069	POINT (13482 931)	13482	931	24.847547722364215	67.44018436489316	20.0	30.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_070	POINT (13613 990)	13613	990	24.844363400380498	67.42640939387896	50.0	50.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_071	POINT (13754 1039)	13754	1039	24.842207992227696	67.41178756061198	30.0	20.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_072	POINT (13539 1069)	13539	1069	24.83603424030703	67.43211626522825	60.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_073	POINT (13966 864)	13966	864	24.86150880457481	67.39436504306687	30.0	30.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_074	POINT (13964 1016)	13964	1016	24.847774992394402	67.39173759724365	60.0	30.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_075	POINT (14067 1043)	14067	1043	24.846981593368145	67.38121538817964	40.0	40.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
